city,state,house_type,price,year,month,time
San Francisco,CA,2,1175791.0,2015,10,2015-10
Berkeley,CA,2,850443.0,2015,10,2015-10
Mountain View,CA,2,925663.0,2015,10,2015-10
Palo Alto,CA,2,1851324.0,2015,10,2015-10
Foster City,CA,2,932555.0,2015,10,2015-10
San Francisco,CA,2,1180156.0,2015,11,2015-11
Berkeley,CA,2,853799.0,2015,11,2015-11
Mountain View,CA,2,932864.0,2015,11,2015-11
Palo Alto,CA,2,1838556.0,2015,11,2015-11
Foster City,CA,2,942282.0,2015,11,2015-11
San Francisco,CA,2,1189612.0,2015,12,2015-12
Berkeley,CA,2,859718.0,2015,12,2015-12
Mountain View,CA,2,941732.0,2015,12,2015-12
Palo Alto,CA,2,1827546.0,2015,12,2015-12
Foster City,CA,2,945990.0,2015,12,2015-12
San Francisco,CA,2,1204121.0,2016,01,2016-01
Berkeley,CA,2,866817.0,2016,01,2016-01
Mountain View,CA,2,950734.0,2016,01,2016-01
Palo Alto,CA,2,1836012.0,2016,01,2016-01
Foster City,CA,2,957831.0,2016,01,2016-01
San Francisco,CA,2,1209323.0,2016,02,2016-02
Berkeley,CA,2,875989.0,2016,02,2016-02
Mountain View,CA,2,953357.0,2016,02,2016-02
Palo Alto,CA,2,1840026.0,2016,02,2016-02
Foster City,CA,2,964439.0,2016,02,2016-02
San Francisco,CA,2,1204518.0,2016,03,2016-03
Berkeley,CA,2,876427.0,2016,03,2016-03
Mountain View,CA,2,955839.0,2016,03,2016-03
Palo Alto,CA,2,1840655.0,2016,03,2016-03
Foster City,CA,2,970868.0,2016,03,2016-03
San Francisco,CA,2,1188904.0,2016,04,2016-04
Berkeley,CA,2,882580.0,2016,04,2016-04
Mountain View,CA,2,961696.0,2016,04,2016-04
Palo Alto,CA,2,1845060.0,2016,04,2016-04
Foster City,CA,2,974854.0,2016,04,2016-04
San Francisco,CA,2,1187330.0,2016,05,2016-05
Berkeley,CA,2,889264.0,2016,05,2016-05
Mountain View,CA,2,961642.0,2016,05,2016-05
Palo Alto,CA,2,1837790.0,2016,05,2016-05
Foster City,CA,2,973324.0,2016,05,2016-05
San Francisco,CA,2,1179809.0,2016,06,2016-06
Berkeley,CA,2,897232.0,2016,06,2016-06
Mountain View,CA,2,963157.0,2016,06,2016-06
Palo Alto,CA,2,1838587.0,2016,06,2016-06
Foster City,CA,2,976691.0,2016,06,2016-06
San Francisco,CA,2,1167828.0,2016,07,2016-07
Berkeley,CA,2,897043.0,2016,07,2016-07
Mountain View,CA,2,955688.0,2016,07,2016-07
Palo Alto,CA,2,1817806.0,2016,07,2016-07
Foster City,CA,2,972811.0,2016,07,2016-07
San Francisco,CA,2,1155564.0,2016,08,2016-08
Berkeley,CA,2,895651.0,2016,08,2016-08
Mountain View,CA,2,958756.0,2016,08,2016-08
Palo Alto,CA,2,1813238.0,2016,08,2016-08
Foster City,CA,2,970851.0,2016,08,2016-08
San Francisco,CA,2,1152203.0,2016,09,2016-09
Berkeley,CA,2,893038.0,2016,09,2016-09
Mountain View,CA,2,958200.0,2016,09,2016-09
Palo Alto,CA,2,1789783.0,2016,09,2016-09
Foster City,CA,2,969631.0,2016,09,2016-09
San Francisco,CA,2,1156437.0,2016,10,2016-10
Berkeley,CA,2,899429.0,2016,10,2016-10
Mountain View,CA,2,965451.0,2016,10,2016-10
Palo Alto,CA,2,1793052.0,2016,10,2016-10
Foster City,CA,2,971291.0,2016,10,2016-10
San Francisco,CA,2,1166559.0,2016,11,2016-11
Berkeley,CA,2,906727.0,2016,11,2016-11
Mountain View,CA,2,967499.0,2016,11,2016-11
Palo Alto,CA,2,1788032.0,2016,11,2016-11
Foster City,CA,2,972222.0,2016,11,2016-11
San Francisco,CA,2,1171810.0,2016,12,2016-12
Berkeley,CA,2,913147.0,2016,12,2016-12
Mountain View,CA,2,971794.0,2016,12,2016-12
Palo Alto,CA,2,1799610.0,2016,12,2016-12
Foster City,CA,2,984814.0,2016,12,2016-12
San Francisco,CA,2,1173102.0,2017,01,2017-01
Berkeley,CA,2,915674.0,2017,01,2017-01
Mountain View,CA,2,975480.0,2017,01,2017-01
Palo Alto,CA,2,1804493.0,2017,01,2017-01
Foster City,CA,2,993275.0,2017,01,2017-01
San Francisco,CA,2,1169666.0,2017,02,2017-02
Berkeley,CA,2,919329.0,2017,02,2017-02
Mountain View,CA,2,984522.0,2017,02,2017-02
Palo Alto,CA,2,1812677.0,2017,02,2017-02
Foster City,CA,2,1005129.0,2017,02,2017-02
San Francisco,CA,2,1168606.0,2017,03,2017-03
Berkeley,CA,2,930732.0,2017,03,2017-03
Mountain View,CA,2,988141.0,2017,03,2017-03
Palo Alto,CA,2,1811181.0,2017,03,2017-03
Foster City,CA,2,1004895.0,2017,03,2017-03
San Francisco,CA,2,1176112.0,2017,04,2017-04
Berkeley,CA,2,935492.0,2017,04,2017-04
Mountain View,CA,2,993976.0,2017,04,2017-04
Palo Alto,CA,2,1817795.0,2017,04,2017-04
Foster City,CA,2,1006626.0,2017,04,2017-04
San Francisco,CA,2,1187816.0,2017,05,2017-05
Berkeley,CA,2,939877.0,2017,05,2017-05
Mountain View,CA,2,999664.0,2017,05,2017-05
Palo Alto,CA,2,1830064.0,2017,05,2017-05
Foster City,CA,2,1010811.0,2017,05,2017-05
San Francisco,CA,2,1200355.0,2017,06,2017-06
Berkeley,CA,2,946817.0,2017,06,2017-06
Mountain View,CA,2,1012747.0,2017,06,2017-06
Palo Alto,CA,2,1844689.0,2017,06,2017-06
Foster City,CA,2,1015899.0,2017,06,2017-06
San Francisco,CA,2,1213172.0,2017,07,2017-07
Berkeley,CA,2,966922.0,2017,07,2017-07
Mountain View,CA,2,1028243.0,2017,07,2017-07
Palo Alto,CA,2,1848300.0,2017,07,2017-07
Foster City,CA,2,1025713.0,2017,07,2017-07
San Francisco,CA,2,1226865.0,2017,08,2017-08
Berkeley,CA,2,983302.0,2017,08,2017-08
Mountain View,CA,2,1048140.0,2017,08,2017-08
Palo Alto,CA,2,1859414.0,2017,08,2017-08
Foster City,CA,2,1032451.0,2017,08,2017-08
San Francisco,CA,2,1238687.0,2017,09,2017-09
Berkeley,CA,2,1001436.0,2017,09,2017-09
Mountain View,CA,2,1072946.0,2017,09,2017-09
Palo Alto,CA,2,1891946.0,2017,09,2017-09
Foster City,CA,2,1046054.0,2017,09,2017-09
